section_id,section_title,type,source,raw_text,checkpoint_draft
2.3.P.2.3,生产工艺的开发,semantic,focus_point,可参照ICH Q8进行制剂工艺开发，结合制剂的剂型、处方特征和已有知识 （如参比制剂公开信息等）选择制剂工艺，评估各工艺步骤及参数与制剂关键质 量属性之间的关系，研究确定影响产品关键质量属性的关键工艺步骤及工艺参数， 建立相应的控制措施；充分评估工艺放大过程中参数调整的合理性，结合生产工 艺验证，进一步论证过程控制措施、关键工艺步骤及工艺参数拟定的合理性和申 报工艺的可重现性。 参比制剂如存在过量灌装，自研样品的过量灌装宜与参比制剂保持一致，如 不一致提供合理性论证。 对于注射剂，根据溶液的特点和生产工艺，参照《化学药品注射剂生产所用 的塑料组件系统相容性研究技术指南（试行）》等指导原则进行与硅胶管等直接 接触药液的生产组件的相容性研究。,是否可参照ICH Q8进行制剂工艺开发，结合制剂的剂型、处方特征和已有知识 （如参比制剂公开信息等）选择制剂工艺，评估各工艺步骤及参数与制剂关键质 量属性之间的关系，研究确定影响产品关键质量属性的关键工艺步骤及工艺参数， 建立相应的控制措施；充分评估工艺放大过程中参数调整的合理性，结合生产工 艺验证，进一步论证过程控制措施、关键工艺步骤及工艺参数拟定的合理性和申 报工艺的可重现性。 参比制剂如存在过量灌装，自研样品的过量灌装宜与参比制剂保持一致，如 不一致提供合理性论证。 对于注射剂，根据溶液的特点和生产工艺，参照《化学药品注射剂生产所用 的塑料组件系统相容性研究技术指南（试行）》等指导原则进行与硅胶管等直接 接触药液的生产组件的相容性研究？
2.3.P.2.3,生产工艺的开发,table,real_table,"表格列: ['项目', '中试工艺', '临床试验批/生物等\n效性试验批用工艺\n（如适用）', '工艺验证\n工艺', '拟定商业\n生产工艺', '主要变化\n及原因', '支持\n依据']","是否提供生产工艺的开发相关的结构化表格，且包含列：‘项目’、‘中试工艺’、‘临床试验批/生物等
效性试验批用工艺
（如适用）’、‘工艺验证
工艺’、‘拟定商业
生产工艺’？"
2.3.P.2.4,包装系统,semantic,focus_point,8 依据参比制剂的包材，结合拟开发产品的特性和临床使用情况，选择能够保 证药品质量的包材。根据加速试验和长期试验研究结果确定所采用的包材的合理 性，以保证药品质量与参比制剂一致。 对于注射剂，参考《化学药品注射剂与药用玻璃包装容器相容性研究技术指 导原则（试行）》、《化学药品与弹性体密封件相容性研究技术指导原则（试行）》、 《化学药品注射剂与塑料包装材料相容性研究技术指导原则（试行）》等指导原 则考察包材与制剂的相容性，依据相容性研究结果评估所选包材的适用性。,是否8 依据参比制剂的包材，结合拟开发产品的特性和临床使用情况，选择能够保 证药品质量的包材。根据加速试验和长期试验研究结果确定所采用的包材的合理 性，以保证药品质量与参比制剂一致。 对于注射剂，参考《化学药品注射剂与药用玻璃包装容器相容性研究技术指 导原则（试行）》、《化学药品与弹性体密封件相容性研究技术指导原则（试行）》、 《化学药品注射剂与塑料包装材料相容性研究技术指导原则（试行）》等指导原 则考察包材与制剂的相容性，依据相容性研究结果评估所选包材的适用性？
2.3.P.2.4,包装系统,table,real_table,"表格列: ['组件\n名称', '牌号/\n型号', '生产商', '材质', '使用前处\n理方式', '使用\n步骤', '与制剂接触方式及\n接触条件（温度/时\n间/面积等 ）', '与制剂相容\n性风险评估\n结论']","是否提供包装系统相关的结构化表格，且包含列：‘组件
名称’、‘牌号/
型号’、‘生产商’、‘材质’、‘使用前处
理方式’？"
2.3.P.2.4,包装系统,table,real_table,"表格列: ['名称', '规格', '生产商', '执行标准', '登记号及登记状态']",是否提供包装系统相关的结构化表格，且包含列：‘名称’、‘规格’、‘生产商’、‘执行标准’、‘登记号及登记状态’？
2.3.P.2.4,包装系统,table,real_table,"表格列: ['相关物质名称', '实际\n检出量', '实际每日\n最大摄入量', '在制剂给药途径下\n的安全暴露量', '安全性依据\n及来源']","是否提供包装系统相关的结构化表格，且包含列：‘相关物质名称’、‘实际
检出量’、‘实际每日
最大摄入量’、‘在制剂给药途径下
的安全暴露量’、‘安全性依据
及来源’？"
2.3.P.2.5,微生物属性,semantic,focus_point,对于注射剂，按照《化学药品注射剂包装系统密封性研究技术指南（试行）》 等指导原则开展包装系统密封性研究。密封性检查方法优选能检测出产品最大允 许泄漏限度的确定性方法，并对方法的灵敏度等进行验证。如方法灵敏度无法达 到产品最大允许泄漏限度水平或产品最大允许泄漏限度不明确，建议至少采用两 种方法（其中一种推荐微生物挑战法）进行密封性研究，对两种方法的灵敏度进 行比较研究。拟定生产阶段的密封性检查应采用经过验证的测试方法。,是否对于注射剂，按照《化学药品注射剂包装系统密封性研究技术指南（试行）》 等指导原则开展包装系统密封性研究。密封性检查方法优选能检测出产品最大允 许泄漏限度的确定性方法，并对方法的灵敏度等进行验证。如方法灵敏度无法达 到产品最大允许泄漏限度水平或产品最大允许泄漏限度不明确，建议至少采用两 种方法（其中一种推荐微生物挑战法）进行密封性研究，对两种方法的灵敏度进 行比较研究。拟定生产阶段的密封性检查应采用经过验证的测试方法？
2.3.P.2.6,相容性,semantic,focus_point,对于注射剂，按照《化学药品注射剂包装系统密封性研究技术指南（试行）》 等指导原则开展包装系统密封性研究。密封性检查方法优选能检测出产品最大允 许泄漏限度的确定性方法，并对方法的灵敏度等进行验证。如方法灵敏度无法达 到产品最大允许泄漏限度水平或产品最大允许泄漏限度不明确，建议至少采用两 种方法（其中一种推荐微生物挑战法）进行密封性研究，对两种方法的灵敏度进 行比较研究。拟定生产阶段的密封性检查应采用经过验证的测试方法。 结合参比制剂说明书提示信息及产品特性，参考相关技术要求开展制剂与给 药装置的相容性研究。 如，对于吸入液体制剂，重点关注给药装置对产品的吸附情况；对于含有机 溶剂、表面活性剂的液体制剂，关注给药装置中增塑剂等的浸出情况。,是否对于注射剂，按照《化学药品注射剂包装系统密封性研究技术指南（试行）》 等指导原则开展包装系统密封性研究。密封性检查方法优选能检测出产品最大允 许泄漏限度的确定性方法，并对方法的灵敏度等进行验证。如方法灵敏度无法达 到产品最大允许泄漏限度水平或产品最大允许泄漏限度不明确，建议至少采用两 种方法（其中一种推荐微生物挑战法）进行密封性研究，对两种方法的灵敏度进 行比较研究。拟定生产阶段的密封性检查应采用经过验证的测试方法。 结合参比制剂说明书提示信息及产品特性，参考相关技术要求开展制剂与给 药装置的相容性研究。 如，对于吸入液体制剂，重点关注给药装置对产品的吸附情况；对于含有机 溶剂、表面活性剂的液体制剂，关注给药装置中增塑剂等的浸出情况？
2.3.P.2.6,相容性,table,real_table,"表格列: ['样品', '给药\n方式', '配伍\n溶剂', '配制方法及\n配伍浓度', '放置条件（放置\n温度；放置容\n器；放置时间）', '考察\n指标', '考察结果']","是否提供相容性相关的结构化表格，且包含列：‘样品’、‘给药
方式’、‘配伍
溶剂’、‘配制方法及
配伍浓度’、‘放置条件（放置
温度；放置容
器；放置时间）’？"
2.3.P.3.1,生产商,semantic,focus_point,结合参比制剂说明书提示信息及产品特性，参考相关技术要求开展制剂与给 药装置的相容性研究。 如，对于吸入液体制剂，重点关注给药装置对产品的吸附情况；对于含有机 溶剂、表面活性剂的液体制剂，关注给药装置中增塑剂等的浸出情况。,是否结合参比制剂说明书提示信息及产品特性，参考相关技术要求开展制剂与给 药装置的相容性研究。 如，对于吸入液体制剂，重点关注给药装置对产品的吸附情况；对于含有机 溶剂、表面活性剂的液体制剂，关注给药装置中增塑剂等的浸出情况？
2.3.P.3.2,批处方,semantic,focus_point,关注批处方中各成分用量比例与单位剂量处方的一致性。,是否关注批处方中各成分用量比例与单位剂量处方的一致性？
2.3.P.3.2,批处方,table,real_table,"表格列: ['成分', '每个制剂单位用量', '工艺验证批用量', '拟定商业生产批用量']",是否提供批处方相关的结构化表格，且包含列：‘成分’、‘每个制剂单位用量’、‘工艺验证批用量’、‘拟定商业生产批用量’？
2.3.P.3.3,生产工艺和工艺控制,semantic,focus_point,提供完整详细的拟定商业生产的工艺描述，工艺流程图中相关信息应与工艺 描述相对应，工艺流程图与工艺描述均应与《化药制剂生产工艺信息表》中相应 内容一致。 工艺描述的详略程度应能使经过培训的专业技术人员根据工艺描述可完整 地重复生产过程，并制得符合其质量标准的产品。 拟定商业生产的工艺参数、中间产品的存放条件及存放时限等均应有研究数 据予以支持。 3、主要的生产设备 列表说明实际生产线的主要生产设备的相关信息，如设备名称、型号、生产 厂、设备类型、生产能力等。 设备名称 型号 生产厂 设备类型 生产能力 …… 13 生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求。 生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求。 生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求。,是否提供完整详细的拟定商业生产的工艺描述，工艺流程图中相关信息应与工艺 描述相对应，工艺流程图与工艺描述均应与《化药制剂生产工艺信息表》中相应 内容一致。 工艺描述的详略程度应能使经过培训的专业技术人员根据工艺描述可完整 地重复生产过程，并制得符合其质量标准的产品。 拟定商业生产的工艺参数、中间产品的存放条件及存放时限等均应有研究数 据予以支持。 3、主要的生产设备 列表说明实际生产线的主要生产设备的相关信息，如设备名称、型号、生产 厂、设备类型、生产能力等。 设备名称 型号 生产厂 设备类型 生产能力 …… 13 生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求。 生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求。 生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求？
2.3.P.3.3,生产工艺和工艺控制,table,real_table,"表格列: ['设备名称', '型号', '生产厂', '设备类型', '生产能力', '……']",是否提供生产工艺和工艺控制相关的结构化表格，且包含列：‘设备名称’、‘型号’、‘生产厂’、‘设备类型’、‘生产能力’？
2.3.P.3.4,关键步骤和中间产品的控制,semantic,focus_point,生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求。,是否生产设备应与工艺验证用生产设备、《化药制剂生产工艺信息表》中相应内 容一致。 4、拟定商业生产批量 简述注册批、工艺验证批的批量及拟定商业生产批量。 商业生产批量的拟定应有依据，并与《化药制剂生产工艺信息表》中相应内 容一致。 注册批样品批量应符合《化学仿制药注册批生产规模的一般性要求（试行）》 相关要求？
